Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,86.98,-106.56,270,top
C2,10nF,C_0805_2012Metric,93.38,-103.34,180,top
C3,100nF,C_0805_2012Metric,107.442,-106.934,180,top
C4,100nF,C_0805_2012Metric,87.34,-62.67,90,top
C5,1uF,C_0805_2012Metric,90.33,-62.71,90,top
C6,100nF,C_0805_2012Metric,113.2,-83.85,0,top
C7,100nF,C_0805_2012Metric,115.19,-75.47,270,top
C8,100nF,C_0805_2012Metric,120.904,-72.898,0,top
C9,680pF,C_0805_2012Metric,112.03,-71.75,0,top
C10,10nF,C_0805_2012Metric,103.68,-69.16,180,top
C11,10nF,C_0805_2012Metric,103.64,-71.63,180,top
C12,10uF/16V,CP_Elec_4x5.4,117.77,-86.96,270,top
C13,100nF,C_0805_2012Metric,112.12,-87.72,180,top
C14,100nF,C_0805_2012Metric,123.64,-87.04,270,top
C15,100uF/16V,CP_Elec_6.3x7.7,129.78,-85.32,0,top
C16,100nF,C_0805_2012Metric,132.08,-106.172,270,top
C20,100nF,C_0805_2012Metric,101.68,-89.9,180,top
C21,100nF,C_0805_2012Metric,115.19,-79.51,90,top
C22,100nF,C_0805_2012Metric,134.93,-74.15,0,top
C23,100uF/16V,CP_Elec_6.3x7.7,140.86,-99.75,270,top
C24,100nF,C_0805_2012Metric,147.02,-97.58,270,top
C25,100nF,C_0805_2012Metric,148.21,-85.85,180,top
C26,10uF/16V,CP_Elec_4x5.4,140.09,-91.08,90,top
C27,100nF,C_0805_2012Metric,100.51,-94.96,270,top
D1,TX,LED_0805_2012Metric_Castellated,118.54,-92.07,180,top
D2,FT8,LED_0805_2012Metric_Castellated,130.44,-91.53,90,top
D3,FT4,LED_0805_2012Metric_Castellated,123.09,-91.6325,90,top
D4,JS8,LED_0805_2012Metric_Castellated,114.68,-91.64,90,top
D5,WSPR,LED_0805_2012Metric_Castellated,107.85,-91.73,90,top
D6,1N4148,D_SOD-123,112.08,-69.16,180,top
D7,1N4148,D_SOD-123,111.97,-66.46,0,top
D9,1N4148,D_SOD-123,102.29,-85.48,270,top
J1,SPK,Jack_3.5mm_PJ-320B-SMT_Horizontal_CORR,89.44,-95.6,90,top
J2,MIC,Jack_3.5mm_PJ-320B-SMT_Horizontal_CORR,89.74,-70.91,90,top
L1,100uH,L_0805_2012Metric,135.53,-100.27,270,top
L2,100uH,L_0805_2012Metric,121.51,-87.06,270,top
L3_1,1uH,L_0805_2012Metric,121.8,-79.48,180,top
Q4,MMBF170,SOT-23,107.52,-66.9,180,top
R1,470k,R_0805_2012Metric,89.89,-106.5675,90,top
R2,4.7k,R_0805_2012Metric,92.72,-106.53,270,top
R3,10k,R_0805_2012Metric,95.55,-106.6375,270,top
R4,10k,R_0805_2012Metric,98.21,-106.7,90,top
R5,1k,R_0805_2012Metric,113.19,-96.04,0,top
R6,1k,R_0805_2012Metric,127.92,-91.42,270,top
R7,1k,R_0805_2012Metric,125.11,-91.62,90,top
R8,1k,R_0805_2012Metric,111.39,-91.8,90,top
R9,1k,R_0805_2012Metric,104.85,-91.8825,270,top
R10,10k,R_0805_2012Metric,113.26,-103.38,180,top
R11,10k,R_0805_2012Metric,124.95,-98.08,90,top
R12,2.7k,R_0805_2012Metric,105.38,-85.4,270,top
R13,1k,R_0805_2012Metric,107.89,-71.59,180,top
R14,100,R_0805_2012Metric,109.37,-83.85,0,top
R15,4.7k,R_0805_2012Metric,138.16,-81.5075,90,top
R16,4.7k,R_0805_2012Metric,135.56,-81.57,90,top
R17,10k,R_0805_2012Metric,123.47,-102.28,90,top
SW1,<---,SW_Push_1P1T_NO_6x6mm_H9.5mm,107.75,-99.39,90,top
SW2,--->/CAL,SW_Push_1P1T_NO_6x6mm_H9.5mm,129.67,-99.16,90,top
SW3,TX,SW_Push_1P1T_NO_6x6mm_H9.5mm,118.82,-99.22,90,top
U2,Si5351A,MSOP-10_3x3mm_P0.5mm,136.38,-77.63,180,top
U3,74ACT244,TSSOP-20_4.4x6.5mm_P0.65mm,95.81,-87.2,270,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,147.43,-91.21,0,top
Y1,25Mhz,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,144.272,-78.486,0,top
